trip_id,1136,1156,1900,1901,1904,1988,2283,2287,2289,3313,6017,6018,6019,6020,6021,6022B,6023,6024,6053,6054B,6055,6056,6058,6059,6060,6061,6062,6190,6191,6435,6436,9023B,9291,9296,9996
113354339237585601,21:34:00,,21:14:00,21:17:25,21:16:11,,21:36:00,,21:37:00,,21:22:07,21:23:39,21:24:56,21:25:50,21:29:28,21:31:42,21:31:00,21:32:33,,,,,,,,,,,21:28:00,21:19:00,,21:20:33,21:27:21,,
113354340237585601,,21:26:00,21:48:00,,,21:44:00,,21:24:00,21:23:00,21:40:01,,,,,,,,,21:27:19,21:28:05,21:29:00,21:30:17,21:33:35,21:34:51,21:35:55,21:37:36,21:39:11,21:32:00,,,21:41:00,,,21:32:34,
113354341237585601,08:15:00,,07:57:00,07:59:44,07:58:44,,08:17:00,,08:18:00,,08:03:25,08:04:37,08:05:37,08:06:19,08:09:28,08:11:56,08:11:00,08:13:04,,,,,,,,,,,08:08:00,08:01:00,,08:02:12,08:07:30,,
113354342237585601,07:45:00,,07:27:00,07:29:44,07:28:44,,07:47:00,,07:48:00,,07:33:25,07:34:37,07:35:37,07:36:19,07:39:28,07:41:56,07:41:00,07:43:04,,,,,,,,,,,07:38:00,07:31:00,,07:32:12,07:37:30,,
113354343237585601,06:43:00,,06:26:00,06:28:44,06:27:44,,06:45:00,,06:46:00,,06:32:25,06:33:37,06:34:37,06:35:19,06:38:28,06:40:42,06:40:00,06:41:33,,,,,,,,,,,06:37:00,06:30:00,,06:31:12,06:36:30,,
113354344237585601,,20:46:00,21:08:00,,,21:04:00,,20:44:00,20:43:00,21:00:01,,,,,,,,,20:47:19,20:48:05,20:49:00,20:50:17,20:53:35,20:54:51,20:55:55,20:57:36,20:59:11,20:52:00,,,21:01:00,,,20:52:34,
113356868237591501,21:34:00,,21:14:00,21:17:25,21:16:11,,,,,,21:22:07,21:23:39,21:24:56,21:25:50,21:29:28,21:31:42,21:31:00,21:32:33,,,,,,,,,,,21:28:00,21:19:00,,21:20:33,21:27:21,,21:36:00
113356869237591501,,17:42:00,18:07:00,,,18:03:00,,17:40:00,17:39:00,17:58:48,,,,,,,,,17:43:45,17:44:47,17:46:00,17:47:17,17:50:56,17:52:29,17:53:47,17:55:51,17:57:47,17:49:00,,,18:00:00,,,17:49:42,
113356870237591501,20:55:00,,20:34:00,20:37:25,20:36:11,,20:57:00,,20:58:00,,20:42:27,20:44:10,20:45:36,20:46:36,20:50:28,20:52:42,20:52:00,20:53:33,,,,,,,,,,,20:49:00,20:39:00,,20:40:43,20:48:17,,
113356871237591501,,17:27:00,17:53:00,,,17:48:25,,17:25:00,17:24:00,17:43:48,,,,,,,,,17:28:45,17:29:47,17:31:00,17:32:17,17:35:56,17:37:29,17:38:47,17:40:51,17:42:47,17:34:00,,,17:45:00,,,17:34:42,
113356872237591501,19:12:00,,18:48:00,18:51:25,18:50:11,,19:15:00,,19:16:00,,18:56:48,18:58:41,19:00:15,19:01:21,19:05:57,19:08:56,19:08:00,19:10:04,,,,,,,,,,,19:04:00,18:53:00,,18:54:53,19:03:12,,
